------------ PCB NO.: 09288-SB
------------ ITEM   : 55.4EX01.S05G
------------ Model  : DW30 PT MB 09288-SB DIS-1 (S)
 
20.20431.015     CONN D 15P 070546FR015S203ZR           1 CRT1
20.80962.009     CONN CTR 9P BP02091-P5351-7F           1 BATT1
20.D0075.102     HEAD SMD ML 1R2P HS8102E               1 RTC1
20.D0210.103     HEAD SMD ML 3P HS8103E FOXCONN         1 FAN1
20.F0693.002     CONN CTR SMD 2P 53780-0270             1 SPK1
20.F0779.008     CONN CTR SMD 8P 8846-0801 SMD          1 CAMERA1
20.F1500.014     CONN CTR SMD 14P 91016-01441           1 BT1
20.F1555.030     CONN CTR SMD 30P FI-G30SB-VF25         1 LCD1
20.F1631.050     CONN CTR SMD 50P 88079-0500A1          1 BTB1
20.I0045.001     CONN CARD PUSH 9P PSDBT4-              1 CARD1
20.K0315.005     CONN FPC 5P SMD 88512-0541             1 FP1
20.K0320.004     CONN FPC 4P SMD 88513-044N             2 TPAD1
20.K0320.004     CONN FPC 4P SMD 88513-044N             2 KBBL1
20.K0370.026     CONN FPC 26P SMD 196210-26041          1 NEW1
20.K0392.020     CONN FPC 20P SMD196233-20041-3         1 MEDIA1
20.K0421.030     CONN FPC 30P SMD 91508-0300N           1 KB1
22.10254.681     SKT ESATA USB 11P 47403-6202           1 ESATA1
22.10265.251     SKT AUD JACK 6P TSH-5205DSR2-P         2 LOUT1
22.10265.251     SKT AUD JACK 6P TSH-5205DSR2-P         2 LIN1
22.10300.451     SKT SATA 22P C11831-12205-L            1 HDD1
22.10321.161     SKT USB 4P 020173MR004S51RZA           1 USB1
34.45T31.001     EMI SPRING H=3.1MM J1                  3 SPR3
34.45T31.001     EMI SPRING H=3.1MM J1                  3 SPR2
34.45T31.001     EMI SPRING H=3.1MM J1                  3 SPR1
34.49U24.001     EMI CLIP 4.1*3.9*2.5MM BECU            1 SPR4
34.4A908.001     BOSS CPU THERMO AG1                    1 H4
34.4F822.002     EMI  SPRING  S8-100G                   1 SPR5
62.10017.P31     SKT DDR 204P DDRSK-20401-TP5B          1 DM1
62.10017.Q31     SKT DDR 204P DDRSK-20401-TP9D          1 DM2
62.10043.841     SKT MINI PCI 52P 10-063-1A30           1 WLAN1
62.10053.561     SKT CPU RPGA 989P 47989-0142           1 CPU1
62.10065.531     SKT SATA P6+S7 C18573-11305-L          1 ODD1
62.40083.001     SW SLIDE 3P SSSS211603 SMD             1 SW1
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R7802
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R7801
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R7303
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R7302
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R7301
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R709
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R708
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R6406
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R6405
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R6312
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R6311
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R6310
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R6306
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R6304
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R6301
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R6007
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R6006
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 R2609
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 PR5003
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 PR4755
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 PR4536
63.00000.00L     CHIP RES 0 J 1/10W 0603               22 PR4534
