554W101041G.txt
20.F0818.010     CONN CTR SMD 10P 88231-10041          1 BT1
63.10334.1DL     CHIP RES 10K J 1/16W 0402            59 R395
63.10334.1DL     CHIP RES 10K J 1/16W 0402            59 R399
63.10334.1DL     CHIP RES 10K J 1/16W 0402            59 R76
63.56034.1DL     CHIP RES 56 J 1/16W 0402             10 R557
63.R0034.1DL     CHIP RES 0 J 1/16W 0402              12 R554
64.18725.6DL     CHIP RES 18.7K F 1/16W 0402           1 R354
64.20R05.6DL     CHIP RES 20 F 1/16W 0402              4 R433
64.54R95.6DL     CHIP RES 54.9 F 1/16W 0402            5 R555
71.09365.A03     IC CLK ICS9LPRS365BKLFT MLF64P        1 U22
71.0NB8M.B0U     IC VGA NB8M-GS-B-A2/H G3-128          1 U55
72.51232.A0U     IC VRAM HY5RS123235BFP-14 FBGA        2 U11
72.51232.A0U     IC VRAM HY5RS123235BFP-14 FBGA        2 U10
74.00792.A79     IC TEMP SENSOR G792SFUF SSOP          1 U60
74.04411.A13     IC AMP MAX4411ETP+ QFN 20P            1 U29
77.21071.09L     CHIP CAP POS 100U 6.3V M 6TPB         2 TC26
77.21071.09L     CHIP CAP POS 100U 6.3V M 6TPB         2 TC10
78.10034.1FL     CHIP CAP 10P50V J0402 NPO(ROHS        4 C910
78.10034.1FL     CHIP CAP 10P50V J0402 NPO(ROHS        4 C909
78.10321.2FL     CHIP CAP0.01U16V K0402 X7R(ROH       35 C913
78.10321.2FL     CHIP CAP0.01U16V K0402 X7R(ROH       35 C912
78.10491.4FL     CHIP CAP 0.1U16V Z0402 Y5V(ROH      108 C850
78.10491.4FL     CHIP CAP 0.1U16V Z0402 Y5V(ROH      108 C852
78.10491.4FL     CHIP CAP 0.1U16V Z0402 Y5V(ROH      108 EC19
78.10593.4BL     CHIP CAP 1U10V Z0603 Y5V(ROHS)       16 C914
78.10620.51L     CHIP CAP C 10UF 6.3V K0805 X5R       52 C42
78.10620.51L     CHIP CAP C 10UF 6.3V K0805 X5R       52 C43
78.10620.51L     CHIP CAP C 10UF 6.3V K0805 X5R       52 C44
78.10620.51L     CHIP CAP C 10UF 6.3V K0805 X5R       52 C45
78.10620.51L     CHIP CAP C 10UF 6.3V K0805 X5R       52 C62
78.10620.51L     CHIP CAP C 10UF 6.3V K0805 X5R       52 C63
78.10620.51L     CHIP CAP C 10UF 6.3V K0805 X5R       52 C64
78.10620.51L     CHIP CAP C 10UF 6.3V K0805 X5R       52 C65
78.10620.51L     CHIP CAP C 10UF 6.3V K0805 X5R       52 C483
78.10620.51L     CHIP CAP C 10UF 6.3V K0805 X5R       52 C489
78.10620.51L     CHIP CAP C 10UF 6.3V K0805 X5R       52 C49
78.10620.51L     CHIP CAP C 10UF 6.3V K0805 X5R       52 C52
78.10620.51L     CHIP CAP C 10UF 6.3V K0805 X5R       52 C53
78.10620.51L     CHIP CAP C 10UF 6.3V K0805 X5R       52 C54
78.15034.1FL     CHIP CAP C 15P 50V J0402 NPO          6 C911
78.22034.1FL     CHIP CAP 22P50V J0402 NPO(ROHS        4 C819
79.10712.9JL     CHIP CAP EL 100U 25V M6.3*7.7         2 TC27
83.00099.P11     DIODE SW BAV99-7-F SOT-23            10 D22
83.00099.P11     DIODE SW BAV99-7-F SOT-23            10 D2
83.00099.P11     DIODE SW BAV99-7-F SOT-23            10 D1
83.00099.P11     DIODE SW BAV99-7-F SOT-23            10 D21
83.9R103.B3F     DIODE ZEN BZX384-C9V1 SOD-323         1 D14
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q7
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q40
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q32
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q10
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q12
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q15
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q18
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q20
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q26
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q34
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q42
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q6
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q5
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q48
