HDMI1                        PN"HDMI1" VERSION IS "M01G";
RN20                         PN"1K_4P2R" VERSION IS "M01G";
RN52                         PN"10K_4P2R" VERSION IS "M01G";
RN22                         PN"10K_4P2R" VERSION IS "M01G";
RN19                         PN"10K_4P2R" VERSION IS "M01G";
RN21                         PN"10K_4P2R" VERSION IS "M01G";
RN42                         PN"10K_4P2R" VERSION IS "M01G";
RN44                         PN"10K_4P2R" VERSION IS "M01G";
RN62                         PN"10K_8P4R" VERSION IS "M01G";
RN55                         PN"10K_8P4R" VERSION IS "M01G";
RN51                         PN"10K_8P4R" VERSION IS "M01G";
RN49                         PN"10K_8P4R" VERSION IS "M01G";
RN43                         PN"10K_8P4R" VERSION IS "M01G";
RN24                         PN"10K_8P4R" VERSION IS "M01G";
RN48                         PN"10K_8P4R" VERSION IS "M01G";
RN50                         PN"10K_8P4R" VERSION IS "M01G";
RN53                         PN"10K_8P4R" VERSION IS "M01G";
RN31                         PN"22_4P2R" VERSION IS "M01G";
RN28                         PN"22_4P2R" VERSION IS "M01G";
RN27                         PN"22_4P2R" VERSION IS "M01G";
RN29                         PN"22_4P2R" VERSION IS "M01G";
RN9                          PN"2.2K_4P2R" VERSION IS "M01G";
RN46                         PN"2.2K_4P2R" VERSION IS "M01G";
RN45                         PN"2.2K_4P2R" VERSION IS "M01G";
RN4                          PN"2.2K_4P2R" VERSION IS "M01G";
RN38                         PN"2.2K_4P2R" VERSION IS "M01G";
RN64                         PN"33_4P2R" VERSION IS "M01G";
RN35                         PN"33_4P2R" VERSION IS "M01G";
RN10                         PN"33_4P2R" VERSION IS "M01G";
RN37                         PN"33_4P2R" VERSION IS "M01G";
RN63                         PN"33_4P2R" VERSION IS "M01G";
RN47                         PN"4.7K_8P4R" VERSION IS "M01G";
RN7                          PN"56_8P4R" VERSION IS "M01G";
RN41                         PN"56_8P4R" VERSION IS "M01G";
RN39                         PN"56_8P4R" VERSION IS "M01G";
RN17                         PN"56_8P4R" VERSION IS "M01G";
RN15                         PN"56_8P4R" VERSION IS "M01G";
RN11                         PN"56_8P4R" VERSION IS "M01G";
RN12                         PN"56_8P4R" VERSION IS "M01G";
RN13                         PN"56_8P4R" VERSION IS "M01G";
RN14                         PN"56_8P4R" VERSION IS "M01G";
RN16                         PN"56_8P4R" VERSION IS "M01G";
RN18                         PN"56_8P4R" VERSION IS "M01G";
RN40                         PN"56_8P4R" VERSION IS "M01G";
RN5                          PN"56_8P4R" VERSION IS "M01G";
RN6                          PN"56_8P4R" VERSION IS "M01G";
RN8                          PN"8P4R_75" VERSION IS "M01G";
RN61                         PN"8.2K_8P4R" VERSION IS "M01G";
RN59                         PN"8.2K_8P4R" VERSION IS "M01G";
RN57                         PN"8.2K_8P4R" VERSION IS "M01G";
RN56                         PN"8.2K_8P4R" VERSION IS "M01G";
RN58                         PN"8.2K_8P4R" VERSION IS "M01G";
RN60                         PN"8.2K_8P4R" VERSION IS "M01G";
RN36                         PN"0_4P2R" VERSION IS "M01G";
RN34                         PN"0_4P2R" VERSION IS "M01G";
RN33                         PN"0_4P2R" VERSION IS "M01G";
RN30                         PN"0_4P2R" VERSION IS "M01G";
RN25                         PN"0_4P2R" VERSION IS "M01G";
RN26                         PN"0_4P2R" VERSION IS "M01G";
RN32                         PN"0_4P2R" VERSION IS "M01G";
U22                          PN"SLG8SP513VTR" TJ LIB VERSION IS "M01G";
U71                          PN"74LVC08" VERSION IS "M01G";
U52                          PN"74AHCT125"  TJ LIB VERSION IS "M01G";
U51                          PN"TPS2062D" TJ LIB VERSION IS "M01G";
U45                          PN"TPS2062D" TJ LIB VERSION IS "M01G";
U20                          PN"TPS2231" TJ LIB VERSION IS "M01G";
U29                          PN"MAX4411" TJ LIB VERSION IS "M01G";
U31                          PN"TPA6040" TJ LIB VERSION IS "M01G";
U36                          PN"MAX8731AETI" TJ LIB VERSION IS "M01G";
U9                           NT PN"TPS51117" VERSION IS "M01G";
U59                          NT PN"TPS51117" VERSION IS "M01G";
U43                          NT PN"TPS51117" VERSION IS "M01G";
U69                          PN"TPS51120" TJ LIB VERSION IS "M01G";
X4                           PN"14.318M" VERSION IS "M01G";
