------------ PCB NO.: 07238-SC
------------ ITEM   : 55.4X801.S21G
------------ Model  : M09-F2 07238-SC MB INTEL 5756
 
20.20736.015     CONN D FM 15P DZ11A96-RB244-9F        1 CRT1
20.80953.009     CONN CTR 9P 200275MR009G50JZL         1 BATT1
20.D0173.102     HEAD ML SMD 2P ST 53398-0271          1 TRING1
20.D0198.103     HEAD ML SMD 1R3P 53398-0371           1 RTC1
20.D0198.104     HEAD ML SMD 1R4P 53398-0471           1 FAN1
20.F0693.006     CONN CTR SMD 6P 53780-0670            1 SPK1
20.F0965.060     CONN CTR 60P QTS0060A-1021-9F         1 IOB1
20.F1077.016     CONN CTR SMD 16P 48300-1611           1 TAP1
20.F1093.050     CONN CTR SMD 50P 20439-050E-02        1 LCD1
20.F1101.012     CONN CTR 12P QT8A0121-8011-9F         1 MDC1
20.F1173.144     CONN CTR 144P WD2F144WB1-R1000        1 JDOCK1
20.F1248.012     CONN CTR SMD 12P 1-1775295-2          1 S_PORT1
20.I0074.001     CONN SD/MMC MEM 13P WK21923-          1 CARD1
20.K0227.006     ONN FPC 6P SMD 52745-0697             1 FP1
20.K0227.012     CONN FPC 12P SMD 52745-1297           1 LEDB1
22.10021.I81     SKT MINI DIM7P MH1177L-BR7S-9F        1 TV1
22.10177.B11     SKT RJ45/11 8P+2P JM34F2L-            1 LAN1
22.10218.Y01     SKT USB*2 10P UB1119C-KB204-7F        1 USB1
34.43E24.001     EMI SPRING SQ-55G DM1                 1 SPRING7
34.45T31.001     EMI SPRING H=3.1MM J1                 4 SPRING8
34.45T31.001     EMI SPRING H=3.1MM J1                 4 SPRING3
34.45T31.001     EMI SPRING H=3.1MM J1                 4 SPRING2
34.45T31.001     EMI SPRING H=3.1MM J1                 4 SPRING1
34.4B312.002     EMI SMT SQ-130G EMI STOP              3 SPRING6
34.4B312.002     EMI SMT SQ-130G EMI STOP              3 SPRING5
34.4B312.002     EMI SMT SQ-130G EMI STOP              3 SPRING4
34.4H103.001     BOSS STANDOFF M2 H=2.0 DIA=4          1 H11
34.4X801.001     BOSS M09-DF2 MDC STANDOFF 6.4         2 H18
34.4X801.001     BOSS M09-DF2 MDC STANDOFF 6.4         2 H17
34.4X802.001     BOSS M09-DF2 MDC STANDOFF 9.1         1 H19
62.10017.A61     SKT DDR 200P 1-1775859-1 SMD          1 DM2
62.10017.B01     SKT SODIMM 200P SMD 1565917-4         1 DM1
62.10024.981     SKT CARD BUS 84P WZ21131-G2-8F        1 CARDBUS1
62.10043.261     SKT PCI 52P AS0B226-S68N-7F           2 WWAN1
62.10043.261     SKT PCI 52P AS0B226-S68N-7F           2 WLAN1
62.10065.061     SKT SATA 22P LD2122F-S4HL6 SMD        1 SATA1
62.10065.191     SKT SATA S7+P6 LN21133-D407-9F        1 ODD1
62.10079.001     SKT 479P SMT 1674770-6                1 U54
62.40083.001     SW SLIDE 3P SSSS211603 SMD            1 SW1
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R83
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R82
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R8139
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R700
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R699
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R566
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R561
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R557
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R552
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R546
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R517
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R516
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R388
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R370
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R362
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R349
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R348
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R347
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R325
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R324
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R323
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R218
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R214
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R180
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R140
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R130
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R129
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R117
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 R116
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 PR72
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 PR695
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 PR668
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 PR652
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 PR643
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 PR488
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 PR475
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 PR463
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 PR460
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 PR458
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 PR44
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 PR436
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 PR359
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 L37
63.00000.00L     CHIP RES 0 J 1/10W 0603              44 L36
63.10031.16L     CHIP RES 10 J 1/8W 0805(ROHS)         1 R591
63.10033.15L     CHIP RES 10 J 1/10W 0603              2 PR486
63.10033.15L     CHIP RES 10 J 1/10W 0603              2 PR480
63.10034.1DL     CHIP RES 10 J 1/16W 0402              3 R705
63.10034.1DL     CHIP RES 10 J 1/16W 0402              3 R280
63.10034.1DL     CHIP RES 10 J 1/16W 0402              3 R104
63.10134.1DL     CHIP RES 100 J 1/16W 0402             4 R633
63.10134.1DL     CHIP RES 100 J 1/16W 0402             4 R620
63.10134.1DL     CHIP RES 100 J 1/16W 0402             4 R510
63.10134.1DL     CHIP RES 100 J 1/16W 0402             4 PR6
63.10234.1DL     CHIP RES 1K J 1/16W 0402             11 R624
63.10234.1DL     CHIP RES 1K J 1/16W 0402             11 R623
63.10234.1DL     CHIP RES 1K J 1/16W 0402             11 R603
63.10234.1DL     CHIP RES 1K J 1/16W 0402             11 R46
63.10234.1DL     CHIP RES 1K J 1/16W 0402             11 R383
63.10234.1DL     CHIP RES 1K J 1/16W 0402             11 R376
63.10234.1DL     CHIP RES 1K J 1/16W 0402             11 R367
63.10234.1DL     CHIP RES 1K J 1/16W 0402             11 R366
63.10234.1DL     CHIP RES 1K J 1/16W 0402             11 R246
63.10234.1DL     CHIP RES 1K J 1/16W 0402             11 PR637
63.10234.1DL     CHIP RES 1K J 1/16W 0402             11 PR390
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R703
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R619
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R607
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R602
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R601
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R569
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R562
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R533
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R528
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R524
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R514
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R44
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R434
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R42
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R41
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R396
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R365
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R360
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R318
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R315
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R314
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R313
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R312
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R310
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R302
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R297
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R287
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R260
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R247
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R242
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R240
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R237
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R236
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R234
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R228
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R226
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R224
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R221
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R200
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R193
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 R176
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 PR414
63.10334.1DL     CHIP RES 10K J 1/16W 0402            43 PR13
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R97
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R722
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R721
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R675
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R650
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R631
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R618
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R523
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R522
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R459
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R446
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R418
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R413
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R412
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R406
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R390
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R387
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R382
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R380
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R372
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R371
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R364
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R35
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R345
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R344
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R343
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R342
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R335
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R317
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R316
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R309
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R305
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R304
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R303
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R301
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R295
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R294
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R290
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R286
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R281
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R276
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R273
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R272
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R271
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R265
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R264
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R259
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R253
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R2504
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R250
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R241
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R235
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R232
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R183
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R182
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R1542
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R14
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R139
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R138
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R122
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R120
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R118
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R115
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R114
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R108
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R107
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R103
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 R100
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 PR670
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 PR635
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 PR382
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 PR355
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 PR2
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 PR19
63.10434.1DL     CHIP RES 100K J 1/16W 0402           80 PR10831
